metric,transformation,value,pvalue_random,pvalue_brownian
K,none,0.002635937573163528,0.9280000000000007,NA
lambda,none,0.1617319056146438,1.2160148987727971e-22,NA
K,arcsine,0.0022111896494217513,0.9090000000000007,NA
lambda,arcsine,0.22887056329265273,4.72218933939876e-36,NA
D,none,0.822424755905414,0,0
